,team_id,city,year_founded,year_active_till
0,1610612737,Atlanta,1968,2019
1,1610612737,St. Louis,1955,1967
2,1610612737,Milwaukee,1951,1954
3,1610612737,Tri-Cities,1949,1950
4,1610612738,Boston,1946,2019
5,1610612739,Cleveland,1970,2019
6,1610612740,New Orleans,2013,2019
7,1610612740,New Orleans,2007,2012
8,1610612740,New Orleans/Oklahoma City,2005,2006
9,1610612740,New Orleans,2002,2004
10,1610612741,Chicago,1966,2019
11,1610612742,Dallas,1980,2019
12,1610612743,Denver,1976,2019
13,1610612744,Golden State,1971,2019
14,1610612744,San Francisco,1962,1970
15,1610612744,Philadelphia,1946,1961
16,1610612745,Houston,1971,2019
17,1610612745,San Diego,1967,1970
18,1610612746,Los Angeles,1984,2019
19,1610612746,San Diego,1978,1983
20,1610612746,Buffalo,1970,1977
21,1610612747,Los Angeles,1960,2019
22,1610612747,Minneapolis,1948,1959
23,1610612748,Miami,1988,2019
24,1610612749,Milwaukee,1968,2019
25,1610612750,Minnesota,1989,2019
26,1610612751,Brooklyn,2012,2019
27,1610612751,New Jersey,1977,2011
28,1610612751,New York,1976,1976
29,1610612752,New York,1946,2019
30,1610612753,Orlando,1989,2019
31,1610612754,Indiana,1976,2019
32,1610612755,Philadelphia,1963,2019
33,1610612755,Syracuse,1949,1962
34,1610612756,Phoenix,1968,2019
35,1610612757,Portland,1970,2019
36,1610612758,Sacramento,1985,2019
37,1610612758,Kansas City,1975,1984
38,1610612758,Kansas City-Omaha,1972,1974
39,1610612758,Cincinnati,1957,1971
40,1610612758,Rochester,1948,1956
41,1610612759,San Antonio,1976,2019
42,1610612760,Oklahoma City,2008,2019
43,1610612760,Seattle,1967,2007
44,1610612761,Toronto,1995,2019
45,1610612762,Utah,1979,2019
46,1610612762,New Orleans,1974,1978
47,1610612763,Memphis,2001,2019
48,1610612763,Vancouver,1995,2000
49,1610612764,Washington,1997,2019
50,1610612764,Washington,1974,1996
51,1610612764,Capital,1973,1973
52,1610612764,Baltimore,1963,1972
53,1610612764,Chicago,1962,1962
54,1610612764,Chicago,1961,1961
55,1610612765,Detroit,1957,2019
56,1610612765,Ft. Wayne Zollner,1948,1956
57,1610612766,Charlotte,2014,2019
58,1610612766,Charlotte,2004,2013
59,1610612766,Charlotte,1988,2001
